"GEO_ID","NAME","B25070_001E","B25070_001M","B25070_002E","B25070_002M","B25070_003E","B25070_003M","B25070_004E","B25070_004M","B25070_005E","B25070_005M","B25070_006E","B25070_006M","B25070_007E","B25070_007M","B25070_008E","B25070_008M","B25070_009E","B25070_009M","B25070_010E","B25070_010M","B25070_011E","B25070_011M"
"id","Geographic Area Name","Estimate!!Total:","Margin of Error!!Total:","Estimate!!Total:!!Less than 10.0 percent","Margin of Error!!Total:!!Less than 10.0 percent","Estimate!!Total:!!10.0 to 14.9 percent","Margin of Error!!Total:!!10.0 to 14.9 percent","Estimate!!Total:!!15.0 to 19.9 percent","Margin of Error!!Total:!!15.0 to 19.9 percent","Estimate!!Total:!!20.0 to 24.9 percent","Margin of Error!!Total:!!20.0 to 24.9 percent","Estimate!!Total:!!25.0 to 29.9 percent","Margin of Error!!Total:!!25.0 to 29.9 percent","Estimate!!Total:!!30.0 to 34.9 percent","Margin of Error!!Total:!!30.0 to 34.9 percent","Estimate!!Total:!!35.0 to 39.9 percent","Margin of Error!!Total:!!35.0 to 39.9 percent","Estimate!!Total:!!40.0 to 49.9 percent","Margin of Error!!Total:!!40.0 to 49.9 percent","Estimate!!Total:!!50.0 percent or more","Margin of Error!!Total:!!50.0 percent or more","Estimate!!Total:!!Not computed","Margin of Error!!Total:!!Not computed"
"0600000US2502755395","Princeton town, Worcester County, Massachusetts","56","32","9","15","8","13","11","16","9","16","0","12","0","12","0","12","9","15","10","16","0","12"
"0600000US2502758580","Royalston town, Worcester County, Massachusetts","105","46","4","6","19","19","3","6","2","4","19","24","3","6","11","17","0","12","19","18","25","19"
"0600000US2502758825","Rutland town, Worcester County, Massachusetts","516","170","23","36","137","108","16","26","46","75","105","99","29","34","0","17","35","33","83","89","42","38"
"0600000US2502761800","Shrewsbury town, Worcester County, Massachusetts","3594","338","75","55","379","159","568","179","517","194","548","201","336","160","257","144","308","157","449","184","157","88"
"0600000US2502763165","Southborough town, Worcester County, Massachusetts","355","89","10","18","37","29","64","38","30","27","64","43","18","21","12","19","56","59","35","31","29","26"
"0600000US2502763345","Southbridge Town city, Worcester County, Massachusetts","3801","244","97","62","450","132","492","138","405","129","399","134","410","147","167","73","325","107","900","207","156","81"
"0600000US2502766105","Spencer town, Worcester County, Massachusetts","1436","207","0","19","195","121","229","152","185","115","154","114","113","93","97","95","55","54","314","136","94","73"
"0600000US2502767385","Sterling town, Worcester County, Massachusetts","265","113","32","34","68","65","32","35","0","17","0","17","62","50","0","17","41","38","0","17","30","34"
"0600000US2502768155","Sturbridge town, Worcester County, Massachusetts","677","221","15","26","58","58","73","60","127","101","167","113","65","102","6","9","42","44","81","80","43","43"
"0600000US2502768610","Sutton town, Worcester County, Massachusetts","339","147","0","17","57","59","114","105","27","33","42","44","60","74","0","17","0","17","26","31","13","20"
"0600000US2502769275","Templeton town, Worcester County, Massachusetts","586","248","17","27","93","89","76","66","49","45","66","65","96","96","104","145","45","69","0","17","40","46"
"0600000US2502771480","Upton town, Worcester County, Massachusetts","399","135","14","22","113","86","20","25","47","39","48","61","67","73","0","17","53","67","24","27","13","21"
"0600000US2502771620","Uxbridge town, Worcester County, Massachusetts","986","178","13","21","118","80","146","89","142","101","79","76","125","81","48","61","82","78","159","90","74","58"
"0600000US2502773090","Warren town, Worcester County, Massachusetts","413","164","0","17","0","17","78","87","139","81","50","56","14","21","27","43","13","23","65","63","27","45"
"0600000US2502773895","Webster town, Worcester County, Massachusetts","3151","223","193","100","319","120","363","116","294","104","358","133","349","120","322","114","290","91","607","152","56","40"
"0600000US2502775015","Westborough town, Worcester County, Massachusetts","2619","252","80","49","247","108","372","113","454","165","271","111","225","99","202","84","171","82","530","184","67","46"
"0600000US2502775155","West Boylston town, Worcester County, Massachusetts","404","100","8","15","21","24","62","42","64","42","28","26","28","23","0","17","38","36","106","55","49","38"
"0600000US2502775400","West Brookfield town, Worcester County, Massachusetts","492","157","24","38","38","45","18","16","89","62","0","12","9","14","95","95","79","57","115","82","25","34"
"0600000US2502777010","Westminster town, Worcester County, Massachusetts","261","117","0","17","48","53","61","58","30","35","0","17","17","26","40","46","17","27","48","54","0","17"
"0600000US2502780405","Winchendon town, Worcester County, Massachusetts","1068","205","59","73","137","111","79","58","232","132","41","39","97","58","73","61","102","91","173","116","75","62"
"0600000US2502782000","Worcester city, Worcester County, Massachusetts","42042","970","1423","317","2972","377","3651","437","4237","466","5310","487","3982","486","2508","365","3516","457","10966","747","3477","410"
